,portfolio_return,equity,portfolio_return_gross,turnover,transaction_cost
2022-06-23,0.0043293366176044,1.6969229746003203,0.0043293366176044,0.0,0.0
2022-06-24,0.012123460003496,1.7174955524119009,0.012123460003496,0.0,0.0
2022-06-27,-0.0047070116989545,1.7094112807537958,-0.0047070116989545,0.0,0.0
2022-06-28,-0.0067573525727594,1.6978601860378901,-0.0067573525727594,0.0,0.0
2022-06-29,-0.0002868875104805,1.697373091155974,-0.0002868875104805,0.0,0.0
2022-06-30,-0.004650383215071,1.6894796558231489,-0.004650383215071,0.0,0.0
2022-07-01,0.0084066408864735,1.703682504574657,0.0084066408864735,0.0,0.0
2022-07-05,-0.0080870454088928,1.6899047467978257,-0.0080870454088928,0.0,0.0
2022-07-06,-0.0056378313320726,1.6803773488681106,-0.0056378313320726,0.0,0.0
2022-07-07,0.0100245284792376,1.6972223394577046,0.0100245284792376,0.0,0.0
2022-07-08,-0.00014559347355493695,1.696975234961908,-5.094702968745093e-05,0.09464644386748602,9.464644386748602e-05
2022-07-11,-0.0047589678084055,1.688899384447063,-0.0047589678084055,0.0,0.0
2022-07-12,-0.0060247864274893,1.6787241263582513,-0.0060247864274893,0.0,0.0
2022-07-13,0.0018015546064669,1.681748439541079,0.0018015546064669,0.0,0.0
2022-07-14,-0.0068433134051835,1.6702397079006213,-0.0068433134051835,0.0,0.0
2022-07-15,0.0117529754966954,1.689869994261185,0.0117529754966954,0.0,0.0
2022-07-18,-0.0029392409567698,1.684903059162436,-0.0029392409567698,0.0,0.0
2022-07-19,0.0137537925333414,1.7080768662769483,0.0137537925333414,0.0,0.0
2022-07-20,0.0016984617771162,1.7109779695466962,0.0016984617771162,0.0,0.0
2022-07-21,0.0093206335222223,1.7269253681654368,0.0093206335222223,0.0,0.0
2022-07-22,-0.0010208099805124,1.7251625055140136,-0.0010208099805124,0.0,0.0
2022-07-25,5.611451497719011e-05,1.7252593121712672,5.611451497719011e-05,0.0,0.0
2022-07-26,-0.0050931290498694,1.7164723438498901,-0.0050931290498694,0.0,0.0
2022-07-27,0.0151853421145819,1.742537563621469,0.0151853421145819,0.0,0.0
2022-07-28,0.0112807040258269,1.7621946141305684,0.0112807040258269,0.0,0.0
2022-07-29,0.0063826214414397,1.773442035258708,0.0063826214414397,0.0,0.0
2022-08-01,0.0004610529371562,1.7742596859179403,0.0004610529371562,0.0,0.0
2022-08-02,-0.0095037355996717,1.7573975909778197,-0.0095037355996717,0.0,0.0
2022-08-03,0.0090989842396564,1.773388123960937,0.0090989842396564,0.0,0.0
2022-08-04,0.001936909365538,1.7768230160269707,0.001936909365538,0.0,0.0
2022-08-05,-0.0076951760430064,1.7631500501213775,-0.0076951760430064,0.0,0.0
